Version:16,,,,,,
Header:Section,Section Name,Species Section Code,Product Page Name,,,
Header:Product,Product Reference,Species Code,Product Page Name,Barcode,Parent Section ,Short Description
Section,Hedging by Species,,,,,
Section,Alder,ALN,alder-hedging-alnus glutinosa.html,,,
Product,ALN-BR-120/150,ALN,Alder-(Alnus-glutinosa)-120-150cm-bare-root.html,ALN-BR-120/150,Alder,Alder 120/150cm bare root
Product,ALN-BR-150/180,ALN,Alder-(Alnus-glutinosa)-150-180cm-bare-root.html,ALN-BR-150/180,Alder,Alder 150/180cm bare root
Product,ALN-BR-40/60,ALN,Alder-(Alnus-glutinosa)-40-60cm-bare-root.html,ALN-BR-40/60,Alder,Alder 40/60cm bare root
Product,ALN-BR-60/90,ALN,Alder-(Alnus-glutinosa)-60-90cm-bare-root.html,ALN-BR-60/90,Alder,Alder 60/90cm bare root
Product,ALN-BR-90/120,ALN,Alder-(Alnus-glutinosa)-90-120cm-bare-root.html,ALN-BR-90/120,Alder,Alder 90/120cm bare root
End,Section,,,,,
Section,Bamboo - Black,PHYN,Black-Bamboo-Phyllostachis-nigra.html,,,
Product,PHYN-PG-150/200-10L,PHYN,Black-Bamboo-(Phyllostachis-nigra)-150-200cm-10L-pot.html,PHYN-PG-150/200-10L,Bamboo - Black,Black Bamboo 150/200cm 10L pot
End,Section,,,,,
Section,Bamboo - Golden,PHYA,Golden-Bamboo-Phyllostachys-aureum.html,,,
Product,PHYA-PG-150/200-10L,PHYA,Golden-Bamboo-(Phyllostachys-aureum)-150-200cm-10L-pot.html,PHYA-PG-150/200-10L,Bamboo - Golden,Golden Bamboo 150/200cm 10L pot
End,Section,,,,,
Section,Bamboo - Green,PHYB,Green-Bamboo-Phyllostachys-bissetii.html,,,
Product,PHYB-PG-150/200-10L,PHYB,Green-Bamboo-(Phyllostachys-bissetii)-150-200-10L-pot.html,PHYB-PG-150/200-10L,Bamboo - Green,Green Bamboo 150/200cm 10L pot
End,Section,,,,,
Section,Bamboo - Umbrella,PHYJ,Umbrella-Bamboo-Fargesia-Murielae.html,,,
Product,PHYJ-PG-50/70-5L,PHYJ,Umbrella-Bamboo-(Fargesia-Murielae)-50-70cm-5L-pot.html,PHYJ-PG-50/70-5L,Bamboo - Umbrella,Umbrella Bamboo 50/70cm 5L pot
End,Section,,,,,
Section,Beech - Green,FAGS,beech-hedgung-fagus-sylvatica.html,,,
Product,FAGS-BR-120/150,FAGS,Beech-(Fagus-Sylvatica)-120-150cm-bare-root.html,FAGS-BR-120/150,Beech - Green,Beech 120/150cm bare root
Product,FAGS-BR-150/180,FAGS,Beech-(Fagus-Sylvatica)-150-180cm-bare-root.html,FAGS-BR-150/180,Beech - Green,Beech 150/180cm bare root
Product,FAGS-BR-180/200,FAGS,Beech-(Fagus-Sylvatica)-180-200cm-bare-root.html,FAGS-BR-180/200,Beech - Green,Beech 180/200cm bare root
Product,FAGS-BR-40/60,FAGS,Beech-(Fagus-Sylvatica)-40-60cm-bare-root.html,FAGS-BR-40/60,Beech - Green,Beech 40/60cm bare root
Product,FAGS-BR-60/90,FAGS,Beech-(Fagus-Sylvatica)-60-90cm-bare-root.html,FAGS-BR-60/90,Beech - Green,Beech 60/90cm bare root
Product,FAGS-BR-90/120,FAGS,Beech-(Fagus-Sylvatica)-90-120cm-bare-root.html,FAGS-BR-90/120,Beech - Green,Beech 90/120cm bare root
Product,FAGS-PG-120/150-5L,FAGS,Beech-(Fagus-Sylvatica)-120-150cm-5L-pot.html,FAGS-PG-120/150-5L,Beech - Green,Beech 120/150cm 5L pot
Product,FAGS-PG-150/175-20L,FAGS,Beech-(Fagus-Sylvatica)-150-175cm-20L-pot.html,FAGS-PG-150/175-20L,Beech - Green,Beech 150/175cm 20L pot
Product,FAGS-PG-175/200-10L,FAGS,Beech-(Fagus-Sylvatica)-175-200cm-10L-pot.html,FAGS-PG-175/200-10L,Beech - Green,Beech 175/200cm 10L pot
Product,FAGS-PG-40/60-2L,FAGS,Beech-(Fagus-Sylvatica)-40-60cm-2L-pot.html,FAGS-PG-40/60-2L,Beech - Green,Beech 40/60cm 2L pot
Product,FAGS-PG-60/90-2L,FAGS,Beech-(Fagus-Sylvatica)-60-90cm-2L-pot.html,FAGS-PG-60/90-2L,Beech - Green,Beech 60/90cm 2L pot
Product,FAGS-PG-90/120-3L,FAGS,Beech-(Fagus-Sylvatica)-90-120cm-3L-pot.html,FAGS-PG-90/120-3L,Beech - Green,Beech 90/120cm 3L pot
Product,FAGS-PG-90/120-5L,FAGS,Beech-(Fagus-Sylvatica)-90-120cm-5L-pot.html,FAGS-PG-90/120-5L,Beech - Green,Beech 90/120cm 5L pot
Product,FAGS-RB-150/175,FAGS,Beech-(Fagus-Sylvatica)-150-175cm-Root-ball.html,FAGS-RB-150/175,Beech - Green,Beech 150/175cm Root ball
Product,FAGS-RB-175/200,FAGS,Beech-(Fagus-Sylvatica)-175-200cm-Root-ball.html,FAGS-RB-175/200,Beech - Green,Beech 175/200cm Root ball
Product,FAGS-RB-200/225,FAGS,Beech-(Fagus-Sylvatica)-200-225cm-Root-ball.html,FAGS-RB-200/225,Beech - Green,Beech 200/225cm Root ball
Product,FAGS-IH-100/120-40L,FAGS,Beech-Fagus-Sylvatica-40L-100-120cm-1-Metre-trough.html,FAGS-IH-100/120-40L,Beech - Green,Beech 40L 100/120cm 1 Metre trough
Product,FAGS-IH-150/175-90L,FAGS,Beech-Fagus-Sylvatica-90L-150-175cm-1-Metre-trough.html,FAGS-IH-150/175-90L,Beech - Green,Beech 90L 150/175cm 1 Metre trough
End,Section,,,,,
Section,Beech - Purple / Copper,FAGP,Purple_Beech_Fagus_Sylvatica_Purpurea.html,,,
Product,FAGP-BR-120/150,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-120-150cm-bare-root.html,FAGP-BR-120/150,Beech - Purple / Copper,Purple Beech 120/150cm bare root
Product,FAGP-BR-150/180,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-150-180cm-bare-root.html,FAGP-BR-150/180,Beech - Purple / Copper,Purple Beech 150/180cm bare root
Product,FAGP-BR-40/60,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-40-60cm-bare-root.html,FAGP-BR-40/60,Beech - Purple / Copper,Purple Beech 40/60cm bare root
Product,FAGP-BR-60/90,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-60-90cm-bare-root.html,FAGP-BR-60/90,Beech - Purple / Copper,Purple Beech 60/90cm bare root
Product,FAGP-BR-90/120,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-90-120cm-bare-root.html,FAGP-BR-90/120,Beech - Purple / Copper,Purple Beech 90/120cm bare root
Product,FAGP-PG-120/150-5L,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-120-150cm-5L-pot.html,FAGP-PG-120/150-5L,Beech - Purple / Copper,Purple Beech 120/150cm 5L pot
Product,FAGP-PG-40/60-2L,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-40-60cm-2L-pot.html,FAGP-PG-40/60-2L,Beech - Purple / Copper,Purple Beech 40/60cm 2L pot
Product,FAGP-PG-60/90-2L,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-60-90cm-2L-pot.html,FAGP-PG-60/90-2L,Beech - Purple / Copper,Purple Beech 60/90cm 2L pot
Product,FAGP-PG-90/120-3L,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-90-120cm-3L-pot.html,FAGP-PG-90/120-3L,Beech - Purple / Copper,Purple Beech 90/120cm 3L pot
Product,FAGP-PG-90/120-5L,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-90-120cm-5L-pot.html,FAGP-PG-90/120-5L,Beech - Purple / Copper,Purple Beech 90/120cm 5L pot
Product,FAGP-RB-150/175,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-150-175cm-Root-ball.html,FAGP-RB-150/175,Beech - Purple / Copper,Purple Beech 150/175cm Root ball
Product,FAGP-RB-175/200,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-175-200cm-Root-ball.html,FAGP-RB-175/200,Beech - Purple / Copper,Purple Beech 175/200cm Root ball
Product,FAGP-RB-200/225,FAGP,Purple-Beech-(Fagus-Sylvatica-Atropurpurea)-200-225cm-Root-ball.html,FAGP-RB-200/225,Beech - Purple / Copper,Purple Beech 200/225cm Root ball
Product,FAGP-IH-100/120-40L,FAGP,Purple-Beech-Fagus-Sylvatica-Atropurpurea-40L-100-120cm-1-Metre-trough.html,FAGP-IH-100/120-40L,Beech - Purple / Copper,Purple Beech 40L 100/120cm 1 Metre trough
End,Section,,,,,
Section,Berberis darwinii,BERD,Berberis_darwinii_Darwins_Barberry_.html,,,
Product,BERD-PG-20/30-2L,BERD,Darwins-Barberry-(Berberis-darwinii)-20-30cm-2L-pot.html,BERD-PG-20/30-2L,Berberis darwinii,Darwins Barberry 20/30cm 2L pot
Product,BERD-PG-30/40-2L,BERD,Darwins-Barberry-(Berberis-darwinii)-30-40cm-2L-pot.html,BERD-PG-30/40-2L,Berberis darwinii,Darwins Barberry 30/40cm 2L pot
Product,BERD-PG-40/60-5L,BERD,Darwins-Barberry-(Berberis-darwinii)-40-60cm-5L-pot.html,BERD-PG-40/60-5L,Berberis darwinii,Darwins Barberry 40/60cm 5L pot
End,Section,,,,,
Section,Berberis Julianae,BERJ,Berberis_Juliana.html,,,
Product,BERJ-BR-30/40,BERJ,Wintergreen-Barberry-(Berberis-julianae)-30-40cm-bare-root.html,BERJ-BR-30/40,Berberis Julianae,Wintergreen Barberry 30/40cm bare root
Product,BERJ-PG-20/30-2L,BERJ,Wintergreen-Barberry-(Berberis-julianae)-20-30cm-2L-pot.html,BERJ-PG-20/30-2L,Berberis Julianae,Wintergreen Barberry 20/30 2L pot
Product,BERJ-PG-30/40-2L,BERJ,Wintergreen-Barberry-(Berberis-julianae)-30-40cm-2L-pot.html,BERJ-PG-30/40-2L,Berberis Julianae,Wintergreen Barberry 30/40 2L pot
Product,BERJ-PG-40/60-5L ,BERJ,Wintergreen-Barberry-(Berberis-julianae)-40-60cm-5L-pot.html,BERJ-PG-40/60-5L ,Berberis Julianae,Wintergreen Barberry 40/60 5L pot
End,Section,,,,,
Section,Berberis Ottawensis,BERO,berberis_aurocoma_hedge.html,,,
Product,BERO-PG-20/30-2L,BERO,Red-Berberis-(Berberis-ottowensis-aurocoma)-20-30cm-2L-pot.html,BERO-PG-20/30-2L,Berberis Ottawensis,Red Berberis 20/30cm 2L pot
Product,BERO-PG-30/40-2L,BERO,Red-Berberis-(Berberis-ottowensis-aurocoma)-30-40cm-2L-pot.html,BERO-PG-30/40-2L,Berberis Ottawensis,Red Berberis 30/40cm 2L pot
Product,BERO-PG-40/60-2L,BERO,Red-Berberis-(Berberis-ottowensis-aurocoma)-40-60cm-2L-pot.html,BERO-PG-40/60-2L,Berberis Ottawensis,Red Berberis 40/60cm 2L pot
Product,BERO-PG-60/90-5L,BERO,Red-Berberis-(Berberis-ottowensis-aurocoma)-60-90cm-5L-pot.html,BERO-PG-60/90-5L,Berberis Ottawensis,Red Berberis 60/90cm 5L pot
End,Section,,,,,
Section,Berberis Stenophylla,BERS,berberis_evergreen_hedge.html,,,
Product,BERS-PG-40/60-2L,BERS,Berberis-Evergreen-(Berberis-x-stenophylla)-40-60cm-2L-pot.html,BERS-PG-40/60-2L,Berberis Stenophylla,Berberis Evergreen 40/60cm 2L pot
Product,BERS-PG-60/90-5L ,BERS,Berberis-Evergreen-(Berberis-x-stenophylla)-60-90cm-5L-pot.html,BERS-PG-60/90-5L ,Berberis Stenophylla,Berberis Evergreen 60/90cm 5L pot
End,Section,,,,,
Section,Berberis thunbergii,BERT,berberis_thunbergii_hedge.html,,,
Product,BERT-BR-40/60,BERT,Green-Berberis-(Berberis-thunbergii)-40-60cm-bare-root.html,BERT-BR-40/60,Berberis thunbergii,Green Berberis 40/60cm bare root
Product,BERT-PG-40/60-2L,BERT,Green-Berberis-(Berberis-thunbergii)-40-60cm-2L-pot.html,BERT-PG-40/60-2L,Berberis thunbergii,Green Berberis 40/60cm 2L pot
End,Section,,,,,
Section,Berberis thunbergii Atropurpurea,BERA,berberis-thunbergii-atropurpurea-hedge.html,,,
Product,BERA-BR-40/60,BERA,Purple-Berberis-(Berberis-thunbergii-atropurpurea)-40-60cm-bare-root.html,BERA-BR-40/60,Berberis thunbergii Atropurpurea,Purple Berberis 40/60cm bare root
Product,BERA-BR-60/90,BERA,Purple-Berberis-(Berberis-thunbergii-atropurpurea)-60-90cm-bare-root.html,BERA-BR-60/90,Berberis thunbergii Atropurpurea,Purple Berberis 60/90cm bare root
Product,BERA-PG-40/60-2L,BERA,Purple-Berberis-(Berberis-thunbergii-atropurpurea)-40-60cm-2L-pot.html,BERA-PG-40/60-2L,Berberis thunbergii Atropurpurea,Purple Berberis 40/60cm 2L pot
Product,BERA-PG-60/90-5L,BERA,Purple-Berberis-(Berberis-thunbergii-atropurpurea)-60-90cm-5L-pot.html,BERA-PG-60/90-5L,Berberis thunbergii Atropurpurea,Purple Berberis 60/90cm 5L pot
End,Section,,,,,
Section,Berberis thunbergii Rose Glow,BERR,berberis_rose_glow_hedge.html,,,
Product,BERR-PG-20/40-2L,BERR,Berberis-Rose-Glow-(Berberis-thunbergii-Harlequin)-20-40cm-2L-pot.html,BERR-PG-20/40-2L,Berberis thunbergii Rose Glow,Berberis Rose Glow 20/40cm 2L pot
Product,BERR-PG-40/60-2L,BERR,Berberis-Rose-Glow-(Berberis-thunbergii-Harlequin)-40-60cm-2L-pot.html,BERR-PG-40/60-2L,Berberis thunbergii Rose Glow,Berberis Rose Glow 40/60cm 2L pot
Product,BERR-PG-60/90-5L,BERR,Berberis-Rose-Glow-(Berberis-thunbergii-Harlequin)-60-90cm-5L-pot.html,BERR-PG-60/90-5L,Berberis thunbergii Rose Glow,Berberis Rose Glow 60/90cm 5L pot
End,Section,,,,,
Section,Bird Cherry,PRUP,bird_cherry_prunus.html,,,
Product,PRUP-BR-120/150,PRUP,Bird-Cherry-(Prunus-Padus)-120-150cm-bare-root.html,PRUP-BR-120/150,Bird Cherry,Bird Cherry 120/150cm bare root
Product,PRUP-BR-150/200,PRUP,Bird-Cherry-(Prunus-Padus)-150-200cm-bare-root.html,PRUP-BR-150/200,Bird Cherry,Bird Cherry 150/200cm bare root
Product,PRUP-BR-40/60,PRUP,Bird-Cherry-(Prunus-Padus)-40-60cm-bare-root.html,PRUP-BR-40/60,Bird Cherry,Bird Cherry 40/60cm bare root
Product,PRUP-BR-60/90,PRUP,Bird-Cherry-(Prunus-Padus)-60-90cm-bare-root.html,PRUP-BR-60/90,Bird Cherry,Bird Cherry 60/90cm bare root
Product,PRUP-BR-90/120,PRUP,Bird-Cherry-(Prunus-Padus)-90-120cm-bare-root.html,PRUP-BR-90/120,Bird Cherry,Bird Cherry 90/120cm bare root
Product,PRUP-PG-40/60-2L,PRUP,Bird-Cherry-(Prunus-Padus)-40-60cm-2L-pot.html,PRUP-PG-40/60-2L,Bird Cherry,Bird Cherry 40/60cm 2L pot
End,Section,,,,,
Section,Blackthorn,PRUS,Blackthorn_prunus_hedge.html,,,
Product,PRUS-BR-120/150,PRUS,Blackthorn-(Prunus-spinosa)-120-150cm-bare-root.html,PRUS-BR-120/150,Blackthorn,Blackthorn 120/150cm bare root
Product,PRUS-BR-150/200,PRUS,Blackthorn-(Prunus-spinosa)-150-200cm-bare-root.html,PRUS-BR-150/200,Blackthorn,Blackthorn 150/200cm bare root
Product,PRUS-BR-40/60,PRUS,Blackthorn-(Prunus-spinosa)-40-60cm-bare-root.html,PRUS-BR-40/60,Blackthorn,Blackthorn 40/60cm bare root
Product,PRUS-BR-60/90,PRUS,Blackthorn-(Prunus-spinosa)-60-90cm-bare-root.html,PRUS-BR-60/90,Blackthorn,Blackthorn 60/90cm bare root
Product,PRUS-BR-90/120,PRUS,Blackthorn-(Prunus-spinosa)-90-120cm-bare-root.html,PRUS-BR-90/120,Blackthorn,Blackthorn 90/120cm bare root
Product,PRUS-PG-40/60-2L,PRUS,Blackthorn-(Prunus-spinosa)-40-60cm-2L-pot.html,PRUS-PG-40/60-2L,Blackthorn,Blackthorn 40/60cm 2L pot
Product,PRUS-PG-60/90-2L,PRUS,Blackthorn-(Prunus-spinosa)-60-90cm-2L-pot.html,PRUS-PG-60/90-2L,Blackthorn,Blackthorn 60/90cm 2L pot
End,Section,,,,,
Section,Box,BUXS,box_buxus_hedge.html,,,
Product,BUXS-BR-20/30,BUXS,Box-(Buxus-sempervirens)-20-30cm-bare-root.html,BUXS-BR-20/30,Box,Box 20/30cm bare root
Product,BUXS-BR-30/40,BUXS,Box-(Buxus-sempervirens)-30-40cm-bare-root.html,BUXS-BR-30/40,Box,Box 30/40cm bare root
Product,BUXS-BR-40/50,BUXS,Box-(Buxus-sempervirens)-40-50cm-bare-root.html,BUXS-BR-40/50,Box,Box 40/50cm bare root
Product,BUXS-PG-20/30-1.5L,BUXS,Box-(Buxus-sempervirens)-20-30cm-1-5L-pot.html,BUXS-PG-20/30-1.5L,Box,Box 20/30cm 1.5L pot
Product,BUXS-PG-30/40-2L,BUXS,Box-(Buxus-sempervirens)-30-40cm-2L-pot.html,BUXS-PG-30/40-2L,Box,Box 30/40cm 2L pot
Product,BUXS-PG-40/50-5L,BUXS,Box-(Buxus-sempervirens)-40-50cm-5L-pot.html,BUXS-PG-40/50-5L,Box,Box 40/50cm 5L pot
Product,BUXS-PG-50/70-5L ,BUXS,Box-(Buxus-sempervirens)-50-70cm-5L-pot.html,BUXS-PG-50/70-5L ,Box,Box 50/70cm 5L  pot
Product,BUXS-PG-60/80-10L,BUXS,Box-(Buxus-sempervirens)-60-80cm-10L-pot.html,BUXS-PG-60/80-10L,Box,Box 60/80cm 10L pot
Product,BUXS-RB-100/120,BUXS,Box-(Buxus-sempervirens)-100-120cm-Root-ball.html,BUXS-RB-100/120,Box,Box 100/120cm Root ball
Product,BUXS-RB-120/140,BUXS,Box-(Buxus-sempervirens)-120-140cm-Root-ball.html,BUXS-RB-120/140,Box,Box 120/140cm Root ball
Product,BUXS-RB-140/160,BUXS,Box-(Buxus-sempervirens)-140-160cm-Root-ball.html,BUXS-RB-140/160,Box,Box 140/160cm Root ball
Product,BUXS-RB-40/50,BUXS,Box-(Buxus-sempervirens)-40-50cm-Root-ball.html,BUXS-RB-40/50,Box,Box 40/50cm Root ball
Product,BUXS-RB-50/60,BUXS,Box-(Buxus-sempervirens)-50-60cm-Root-ball.html,BUXS-RB-50/60,Box,Box 50/60cm Root ball
Product,BUXS-RB-60/80,BUXS,Box-(Buxus-sempervirens)-60-80cm-Root-ball.html,BUXS-RB-60/80,Box,Box 60/80cm Root ball
Product,BUXS-RB-80/100,BUXS,Box-(Buxus-sempervirens)-80-100cm-Root-ball.html,BUXS-RB-80/100,Box,Box 80/100cm Root ball
Product,BUXS-IH-30/40-15L,BUXS,Box-Buxus-sempervirens-15L-30-40cm-50cm-trough.html,BUXS-IH-30/40-15L,Box,Box 15L 30/40cm 50cm trough
Product,BUXS-IH-60/80-90L,BUXS,Box-Buxus-sempervirens-90L-60-80cm-1-Metre-trough.html,BUXS-IH-60/80-90L,Box,Box 90L 60/80cm 1 Metre trough
End,Section,,,,,
Section,Box Compact / Dwarf,BUSU,box_compact_hedge.html,,,
Product,BUSU-BR-15/20,BUSU,Dwarf-Box-(Buxus-suffruticosa)-15-20cm-bare-root.html,BUSU-BR-15/20,Box Compact / Dwarf,Dwarf Box 15/20cm bare root
Product,BUSU-PG-15/20-1L,BUSU,Dwarf-Box-(Buxus-suffruticosa)-15-20cm-1L-pot.html,BUSU-PG-15/20-1L,Box Compact / Dwarf,Dwarf-Box 15/20cm 1L pot
End,Section,,,,,
Section,Brachyglottis Senecio 'Sunshine',BRAC,Brachyglottis_Senecio_Sunshine_Hedging.html,,,
Product,BRAC-PG-20/40-2L,BRAC,Senecio-Sunshine-(Brachyglottis-Sunshine)-20-40cm-2L-pot.html,BRAC-PG-20/40-2L,Brachyglottis Senecio 'Sunshine',Senecio 'Sunshine' 20/40cm 2L pot
Product,BRAC-PG-40/60-5L ,BRAC,Senecio-Sunshine-(Brachyglottis-Sunshine)-40-60cm-5L-pot.html,BRAC-PG-40/60-5L ,Brachyglottis Senecio 'Sunshine',Senecio 'Sunshine' 40/60cm 5L  pot
End,Section,,,,,
Section,Ceanothus,CEAN,californian-lilac-ceanothus-autumnal-blue.html,,,
Product,CEAN-PG-20/40-2L,CEAN,Californian-Lilac-(Ceanothus)-20-40cm-2L-pot.html,CEAN-PG-20/40-2L,Ceanothus,Californian Lilac 20/40cm 2L pot
Product,CEAN-PG-40/60-5L,CEAN,Californian-Lilac-(Ceanothus)-40-60cm-5L-pot.html,CEAN-PG-40/60-5L,Ceanothus,Californian Lilac 40/60cm 5L pot
End,Section,,,,,
Section,Cotoneaster Franchetii,COTF,cotoneaster_franchettii.html,,,
Product,COTF-BR-60/100,COTF,Franchets-Cotoneaster-(Cotoneaster-franchetii)-60-100cm-bare-root.html,COTF-BR-60/100,Cotoneaster franchetii,Cotoneaster franchetii 60/100 bare root
Product,COTF-PG-40/60-2L,COTF,Franchets-Cotoneaster-(Cotoneaster-franchetii)-40-60cm-2L-pot.html,COTF-PG-40/60-2L,Cotoneaster franchetii,Cotoneaster franchetii 40/60 2L pot
Product,COTF-PG-60/90-2L,COTF,Franchets-Cotoneaster-(Cotoneaster-franchetii)-60-90cm-2L-pot.html,COTF-PG-60/90-2L,Cotoneaster franchetii,Cotoneaster franchetii 60/90 2L pot
Product,COTF-PG-90/120-5L,COTF,Franchets-Cotoneaster-(Cotoneaster-franchetii)-90-120cm-5L-pot.html,COTF-PG-90/120-5L,Cotoneaster franchetii,Cotoneaster franchetii 90/120 5L pot
End,Section,,,,,
Section,Cotoneaster horizontalis,COTH,cotoneaster_horizontalis.html,,,
Product,COTH-PG-20/40-2L,COTH,Wall-Cotoneaster-(Cotoneaster-horizontalis)-20-40cm-2L-pot.html,COTH-PG-20/40-2L,Cotoneaster horizontalis,Wall Cotoneaster 20/40cm 2L pot
Product,COTH-PG-40/60-5L,COTH,Wall-Cotoneaster-(Cotoneaster-horizontalis)-40-60cm-5L-pot.html,COTH-PG-40/60-5L,Cotoneaster horizontalis,Wall Cotoneaster 40/60cm 5L pot
End,Section,,,,,
Section,Cotoneaster lacteus,COTL,cotoneaster_lacteus.html,,,
Product,COTL-PG-20/40-2L,COTL,Late-Cotoneaster-(Cotoneaster-lacteus)-20-40cm-2L-pot.html,COTL-PG-20/40-2L,Cotoneaster lacteus,Late Cotoneaster 20/40cm 2L pot
Product,COTL-PG-40/60-2L,COTL,Late-Cotoneaster-(Cotoneaster-lacteus)-40-60cm-2L-pot.html,COTL-PG-40/60-2L,Cotoneaster lacteus,Late Cotoneaster 40/60cm 2L pot
End,Section,,,,,
Section,Cotoneaster Simonsii,COTS,Cotoneaster_simonsii__Himalyan_Cotoneaster_.html,,,
Product,COTS-PG-40/60-2L,COTS,Himalayan-Cotoneaster-(Cotoneaster-Simonsii)-40-60cm-2L-pot.html,COTS-PG-40/60-2L,Cotoneaster Simonsii,Himalayan Cotoneaster 40/60cm 2L pot
End,Section,,,,,
Section,Crab Apple,MAL,crab_apple.html,,,
Product,MAL-BR-120/150,MAL,Crab-Apple-(Malus-sylvestris)-120-150cm-bare-root.html,MAL-BR-120/150,Crab Apple,Crab Apple 120/150cm bare root
Product,MAL-BR-150/200,MAL,Crab-Apple-(Malus-sylvestris)-150-200cm-bare-root.html,MAL-BR-150/200,Crab Apple,Crab Apple 150/200cm bare root
Product,MAL-BR-40/60,MAL,Crab-Apple-(Malus-sylvestris)-40-60cm-bare-root.html,MAL-BR-40/60,Crab Apple,Crab Apple 40/60cm bare root
Product,MAL-BR-60/90,MAL,Crab-Apple-(Malus-sylvestris)-60-90cm-bare-root.html,MAL-BR-60/90,Crab Apple,Crab Apple 60/90cm bare root
Product,MAL-BR-90/120,MAL,Crab-Apple-(Malus-sylvestris)-90-120cm-bare-root.html,MAL-BR-90/120,Crab Apple,Crab Apple 90/120cm bare root
